EP011977,                AVA,     19,
19770706, 0600,  , TS, 16.5N, 123.3W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770706, 1200,  , TS, 16.4N, 124.7W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770706, 1800,  , TS, 16.3N, 126.0W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770707, 0000,  , TD, 16.0N, 127.1W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770707, 0600,  , TD, 16.2N, 128.6W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770707, 1200,  , TD, 16.2N, 130.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
EP041977,             DOREEN,     21,
19770813, 0000,  , TD, 17.6N, 106.5W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770813, 0600,  , TD, 17.9N, 106.9W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770813, 1200,  , TD, 18.4N, 107.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770813, 1800,  , TS, 18.8N, 107.7W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770814, 0000,  , TS, 19.1N, 108.1W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770814, 0600,  , TS, 19.5N, 108.5W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770814, 1200,  , TS, 19.9N, 108.9W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770814, 1800,  , HU, 20.3N, 109.3W,  65,  979, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770815, 0000,  , HU, 21.0N, 110.0W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
