WP, 94, 2026062200, 03, CEMN, 000, 134N, 1498E,  21, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, CEMN, 006, 135N, 1489E,  22, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, CEMN, 012, 136N, 1480E,  21, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, CEMN, 018, 136N, 1473E,  20, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, CEMN, 024, 135N, 1466E,  21, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, CEMN, 030, 134N, 1456E,  21, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, CEMN, 036, 133N, 1446E,  21, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, CEMN, 042, 133N, 1434E,  20, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, CEMN, 048, 134N, 1422E,  20, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, CEMN, 054, 136N, 1412E,  20, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, CEMN, 060, 135N, 1402E,  20, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, CEMN, 066, 136N, 1393E,  20, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, CEMN, 072, 139N, 1383E,  20, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, CEMN, 078, 143N, 1375E,  20, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, CEMN, 084, 147N, 1368E,  21, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, CEMN, 090, 157N, 1365E,  21, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, CEMN, 096, 161N, 1367E,  23, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, CEMN, 102, 173N, 1365E,  23, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, CEMN, 108, 180N, 1373E,  24, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, CEMN, 114, 190N, 1376E,  25, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, NEMN, 000, 137N, 1491E,  29, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, NEMN, 006, 139N, 1483E,  24, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, NEMN, 012, 140N, 1477E,  24, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, NEMN, 018, 142N, 1472E,  27, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, NEMN, 024, 143N, 1465E,  28, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, NEMN, 030, 147N, 1456E,  27, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, NEMN, 036, 153N, 1441E,  29, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, NEMN, 042, 157N, 1431E,  32, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, NEMN, 048, 163N, 1420E,  34, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, NEMN, 054, 169N, 1410E,  31, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, NEMN, 060, 176N, 1401E,  31, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, NEMN, 066, 184N, 1392E,  31, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, NEMN, 072, 189N, 1384E,  32, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062200, 03, NEMN, 078, 204N, 1377E,  32, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062212, 03, CEMN, 000, 141N, 1476E,  23, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062212, 03, CEMN, 006, 141N, 1467E,  22, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062212, 03, CEMN, 012, 139N, 1460E,  24, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062212, 03, CEMN, 018, 137N, 1452E,  23, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062212, 03, CEMN, 024, 137N, 1442E,  23, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062212, 03, CEMN, 030, 138N, 1432E,  21, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062212, 03, CEMN, 036, 139N, 1422E,  21, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062212, 03, CEMN, 042, 141N, 1411E,  22, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062212, 03, CEMN, 048, 144N, 1401E,  22, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062212, 03, CEMN, 054, 148N, 1389E,  21, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062212, 03, CEMN, 060, 152N, 1376E,  21, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062212, 03, CEMN, 066, 154N, 1367E,  20, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062212, 03, CEMN, 072, 156N, 1360E,  20, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062212, 03, CEMN, 078, 162N, 1354E,  21, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062212, 03, CEMN, 084, 168N, 1349E,  21, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 94, 2026062212, 03, CEMN, 090, 175N, 1347E,  20, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
