CP, 01, 2026081212, 03,  UKX,   0, 139N, 1423W,  28,    0, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2026081212, 03,  UKX,   6, 137N, 1433W,  30,    0, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2026081212, 03,  UKX,  12, 139N, 1436W,  32,    0, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2026081212, 03,  UKX,  18, 146N, 1443W,  35,    0, XX,  34, NEQ,  124,    0,    0,    0, 
CP, 01, 2026081212, 03,  UKX,  24, 154N, 1453W,  37,    0, XX,  34, NEQ,  132,    0,    0,  101, 
CP, 01, 2026081212, 03,  UKX,  30, 155N, 1467W,  37,    0, XX,  34, NEQ,  169,    0,    0,  121, 
CP, 01, 2026081212, 03,  UKX,  36, 159N, 1476W,  37,    0, XX,  34, NEQ,  143,    0,    0,  127, 
CP, 01, 2026081212, 03,  UKX,  42, 164N, 1486W,  37,    0, XX,  34, NEQ,  128,    0,    0,  115, 
CP, 01, 2026081212, 03,  UKX,  48, 168N, 1499W,  37,    0, XX,  34, NEQ,  110,    0,    0,   80, 
CP, 01, 2026081212, 03,  UKX,  54, 173N, 1510W,  38,    0, XX,  34, NEQ,  117,    0,    0,  118, 
CP, 01, 2026081212, 03,  UKX,  60, 176N, 1523W,  38,    0, XX,  34, NEQ,  116,    0,    0,  137, 
CP, 01, 2026081212, 03,  UKX,  66, 179N, 1534W,  40,    0, XX,  34, NEQ,  131,    0,    0,  229, 
CP, 01, 2026081212, 03,  UKX,  72, 182N, 1544W,  39,    0, XX,  34, NEQ,  130,    0,    0,  172, 
CP, 01, 2026081212, 03,  UKX,  78, 188N, 1551W,  42,    0, XX,  34, NEQ,   95,    0,    0,  136, 
CP, 01, 2026081212, 03,  UKX,  84, 197N, 1568W,  45,    0, XX,  34, NEQ,  129,    0,    0,  108, 
CP, 01, 2026081212, 03,  UKX,  90, 201N, 1582W,  40,    0, XX,  34, NEQ,   86,  119,    0,  102, 
CP, 01, 2026081212, 03,  UKX,  96, 205N, 1595W,  38,    0, XX,  34, NEQ,  102,    0,    0,   62, 
CP, 01, 2026081212, 03,  UKX, 102, 209N, 1610W,  39,    0, XX,  34, NEQ,  123,    0,    0,  115, 
CP, 01, 2026081212, 03,  UKX, 108, 214N, 1624W,  38,    0, XX,  34, NEQ,  105,    0,    0,   83, 
CP, 01, 2026081212, 03,  UKX, 114, 217N, 1639W,  37,    0, XX,  34, NEQ,   89,    0,    0,   89, 
CP, 01, 2026081212, 03,  UKX, 120, 219N, 1653W,  36,    0, XX,  34, NEQ,   75,    0,    0,   74, 
CP, 01, 2026081212, 03,  UKX, 126, 219N, 1664W,  37,    0, XX,  34, NEQ,   98,    0,    0,   95, 
CP, 01, 2026081212, 03,  UKX, 132, 222N, 1675W,  39,    0, XX,  34, NEQ,   85,    0,    0,   82, 
CP, 01, 2026081212, 03,  UKX, 138, 225N, 1685W,  43,    0, XX,  34, NEQ,   93,   72,    0,   80, 
CP, 01, 2026081212, 03,  UKX, 144, 229N, 1696W,  47,    0, XX,  34, NEQ,   89,   79,    0,   81, 
CP, 01, 2026081212, 03, AVNO,   0, 142N, 1412W,  36, 1003, XX,  34, NEQ,  222,    0,  201,    0,  -99,  -99,  89,   0,   0, 
CP, 01, 2026081212, 03, AVNO,   6, 152N, 1413W,  37, 1004, XX,  34, NEQ,   96,    0,    0,    0,  -99,  -99,  63,   0,   0, 
CP, 01, 2026081212, 03, AVNO,  12, 167N, 1421W,  31, 1002, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  69,   0,   0, 
CP, 01, 2026081212, 03, AVNO,  18, 165N, 1436W,  32, 1004, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  55,   0,   0, 
CP, 01, 2026081212, 03, AVNO,  24, 161N, 1438W,  35,  999, XX,  34, NEQ,   54,    0,    0,    0, 1007,  189,  54,   0,   0, 
CP, 01, 2026081212, 03, AVNO,  30, 165N, 1441W,  41, 1002, XX,  34, NEQ,  143,    0,    0,   62,  -99,  -99, 111,   0,   0, 
CP, 01, 2026081212, 03, AVNO,  36, 166N, 1457W,  37,  998, XX,  34, NEQ,  139,    0,    0,   51, 1002,   62, 128,   0,   0, 
CP, 01, 2026081212, 03, AVNO,  42, 168N, 1466W,  38,  998, XX,  34, NEQ,   90,    0,    0,  108, 1006,  104,  89,   0,   0, 
CP, 01, 2026081212, 03, AVNO,  48, 172N, 1479W,  35,  996, XX,  34, NEQ,   82,    0,    0,    0, 1008,  468,  80,   0,   0, 
CP, 01, 2026081212, 03, AVNO,  54, 177N, 1489W,  47,  998, XX,  34, NEQ,  115,    0,    0,   99, 1006,   97,  50,   0,   0, 
CP, 01, 2026081212, 03, AVNO,  60, 180N, 1504W,  47,  997, XX,  34, NEQ,  121,   53,    0,  108, 1009, 1144,  61,   0,   0, 
CP, 01, 2026081212, 03, AVNO,  66, 182N, 1513W,  46,  996, XX,  34, NEQ,  121,    0,   41,   98, 1008,  112,  53,   0,   0, 
CP, 01, 2026081212, 03, AVNO,  72, 184N, 1523W,  52,  992, XX,  34, NEQ,   99,   73,   43,   95, 1008,  155,  36,   0,   0, 
CP, 01, 2026081212, 03, AVNO,  72, 184N, 1523W,  52,  992, XX,  50, NEQ,   51,    0,    0,   37, 1008,  155,  36,   0,   0, 
CP, 01, 2026081212, 03, AVNO,  78, 187N, 1533W,  58,  992, XX,  34, NEQ,  105,   59,   58,   92, 1008,   81,  33,   0,   0, 
CP, 01, 2026081212, 03, AVNO,  78, 187N, 1533W,  58,  992, XX,  50, NEQ,   45,    0,    0,   49, 1008,   81,  33,   0,   0, 
CP, 01, 2026081212, 03, AVNO,  84, 190N, 1541W,  54,  989, XX,  34, NEQ,  110,   56,   57,  156, 1009,  124,  28,   0,   0, 
CP, 01, 2026081212, 03, AVNO,  84, 190N, 1541W,  54,  989, XX,  50, NEQ,   34,    0,   37,   49, 1009,  124,  28,   0,   0, 
CP, 01, 2026081212, 03, AVNO,  90, 196N, 1547W,  61,  991, XX,  34, NEQ,   74,   65,  115,  128, 1007,   94,  23,   0,   0, 
