IO, 95, 2026092200, 03, AEMN, 000, 178N,  854E,  33,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, AEMN, 006, 178N,  849E,  35,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, AEMN, 012, 178N,  844E,  32,  995, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, AEMN, 018, 176N,  841E,  33,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, AEMN, 024, 176N,  840E,  34,  995, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, AEMN, 030, 179N,  839E,  33,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, AEMN, 036, 183N,  836E,  31,  995, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, AEMN, 042, 186N,  831E,  29,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, AEMN, 048, 186N,  825E,  29,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, AEMN, 054, 186N,  822E,  29,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, AEMN, 060, 189N,  821E,  28,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, AEMN, 066, 190N,  818E,  27,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, AEMN, 072, 188N,  815E,  28,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, AEMN, 078, 188N,  819E,  30,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, AEMN, 084, 193N,  824E,  28,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, AEMN, 090, 195N,  824E,  27,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, AEMN, 096, 199N,  824E,  25,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, AEMN, 102, 203N,  823E,  24,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, AEMN, 108, 211N,  827E,  22,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, AEMN, 114, 214N,  827E,  21, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, AEMN, 120, 215N,  829E,  22, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, AEMN, 126, 219N,  831E,  21, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, AEMN, 132, 224N,  831E,  18,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, AEMN, 138, 227N,  832E,  17, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, AEMN, 144, 226N,  830E,  16, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, AEMN, 150, 225N,  830E,  17, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, AEMN, 156, 229N,  831E,  15, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, AEMN, 162, 229N,  830E,  14, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 000, 175N,  865E,  25, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 006, 175N,  858E,  29,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 012, 177N,  856E,  29,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 018, 179N,  853E,  29,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 024, 181N,  850E,  29,  995, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 030, 182N,  846E,  29,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 036, 183N,  842E,  29,  995, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 042, 183N,  836E,  31,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 048, 184N,  837E,  31,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 054, 188N,  838E,  31,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 060, 194N,  839E,  29,  995, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 066, 200N,  837E,  28,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 072, 207N,  837E,  27,  995, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 078, 213N,  837E,  27,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 084, 222N,  835E,  23,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 090, 228N,  832E,  21,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 096, 234N,  831E,  21,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 102, 238N,  831E,  21, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 108, 242N,  832E,  18,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 114, 245N,  833E,  17, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 120, 248N,  832E,  17, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 126, 249N,  831E,  18, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 132, 249N,  832E,  15, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 138, 247N,  833E,  13, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 144, 246N,  832E,  13, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 150, 243N,  830E,  14, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 156, 244N,  829E,  12, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 162, 242N,  825E,   9, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 168, 241N,  821E,   8, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 174, 239N,  821E,  11, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 180, 240N,  825E,  10, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, CEMN, 186, 241N,  821E,   7, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, NEMN, 000, 177N,  868E,  38, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, NEMN, 006, 178N,  865E,  34, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, NEMN, 012, 182N,  862E,  32,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, NEMN, 018, 183N,  857E,  33,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, NEMN, 024, 184N,  853E,  34,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, NEMN, 030, 185N,  851E,  35,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, NEMN, 036, 188N,  849E,  34,  995, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, NEMN, 042, 190N,  847E,  36,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, NEMN, 048, 196N,  845E,  34,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, NEMN, 054, 202N,  843E,  33,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2026092200, 03, NEMN, 060, 209N,  840E,  30,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
